#{"t_start": 1685355853.8863907, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-866.1585,1516,9.48765,0.0,0.0,249.84150013171873,247,62,153,0.0,247,62,0,0,1
-430.115309,1036,22.287555,0.0,0.0,205.88469069124554,556,128,244,0.0,309,66,0,8,9
-444.576048,988,35.344191,0.010101010101010102,0.0029154518950437317,143.42395196675736,858,193,342,0.00623043254777963,302,65,1,3,4
-312.41997,872,49.700476,0.011235955056179775,0.004640371229698376,159.580030214802,1170,256,430,0.0098158304806076,312,63,1,6,7
-497.028602,1058,62.640542,0.042105263157894736,0.011428571428571429,160.97139830688494,1476,323,524,0.020304362392259977,306,67,4,7,8
-342.365302,944,77.458217,0.0,0.009724473257698542,201.634697884709,1784,387,616,0.017196756691687947,308,64,0,5,6
-205.816019,735,96.136401,0.0410958904109589,0.013062409288824383,129.18398062247536,2112,443,688,0.022290374401426585,328,56,3,6,7
-219.679493,760,112.886681,0.011235955056179775,0.01287001287001287,140.32050746258068,2424,512,776,0.022282091275548442,312,69,1,2,3
-443.826178,982,126.733427,0.019230769230769232,0.013636363636363636,138.17382248630372,2721,584,879,0.024521384441480613,297,72,2,7,8
-128.260035,718,141.330367,0.0,0.012591815320041973,189.73996487927394,3048,637,952,0.02271455559802993,327,53,0,6,7
-134.344362,747,159.208934,0.0,0.01171875,212.65563822599393,3377,691,1023,0.0210363210039969,329,54,0,7,8
-131.792865,751,172.380427,0.0,0.010879419764279238,219.20713544785906,3698,748,1102,0.019542328206252593,321,57,0,2,3
-320.930136,885,185.151008,0.012345679012345678,0.01098901098901099,164.0698643124131,4018,813,1182,0.020017704547577637,320,65,1,3,4
-320.342512,880,196.236672,0.0,0.01019607843137255,159.65748806720538,4326,887,1274,0.018495608320557664,308,74,0,3,4
-334.788054,905,210.922003,0.02857142857142857,0.011602610587382161,170.21194575291162,4622,961,1378,0.02051663937447046,296,74,3,6,7
-320.923011,921,225.639342,0.02247191011235955,0.012269938650306749,200.07698944554133,4934,1020,1466,0.02218238932955517,312,59,2,6,7
-266.233194,808,239.678613,0.02702702702702703,0.012987012987012988,141.76680613755389,5261,1079,1539,0.022727195633664744,327,59,2,1,2
-230.688191,790,255.441159,0.0,0.012300123001230012,159.31180903101165,5575,1144,1625,0.021515666295227054,314,65,0,4,5
-169.481271,766,271.594597,0.03333333333333333,0.013411078717201166,196.5187285854206,5886,1211,1714,0.0233120698998792,311,67,3,3,4
-181.236376,697,287.877043,0.05555555555555555,0.015521064301552107,115.76362443902484,6197,1275,1803,0.026224708286143268,311,64,5,8,9
-161.535572,689,305.640375,0.01282051282051282,0.01541733120680489,127.46442840598662,6520,1335,1880,0.025768839654087963,323,60,1,2,3
-370.989436,950,319.608309,0.024390243902439025,0.01580020387359837,179.0105638089365,6839,1399,1961,0.025484402749129945,319,64,2,3,4
-377.154529,974,332.932105,0.01098901098901099,0.015594541910331383,196.84547079608998,7149,1468,2051,0.02539353632926275,310,69,1,4,5
-296.18406,859,348.425117,0.0,0.014974262985493684,162.81593992915802,7464,1532,2136,0.024390184414184356,315,64,0,4,5
-81.972732,686,365.207705,0.0,0.014538845979100408,204.02726847521274,7800,1591,2200,0.023674186377399674,336,59,0,16,11
44.535963,540,383.545645,0.0,0.0141155712395236,184.53596332149232,8134,1649,2266,0.0229567884371248,334,58,0,4,5
-171.459506,753,400.807048,0.0,0.013628620102214651,181.5404939732766,8453,1708,2347,0.022202437383575968,319,59,0,1,2
-255.768221,824,415.969155,0.014084507042253521,0.013647642679900745,168.23177909790178,8783,1764,2417,0.02244760965333552,330,56,1,12,11
-268.589866,819,431.552996,0.03488372093023256,0.014382740711146624,150.41013358858302,9098,1827,2502,0.02424744095434583,315,63,3,3,4
-411.364335,955,446.70962,0.060240963855421686,0.01586073500967118,143.63566479695302,9416,1884,2584,0.02646459300082222,318,57,5,7,8
-45.744086,580,466.223645,0.041666666666666664,0.016566265060240965,134.2559138747739,9745,1938,2655,0.02756985512041134,329,54,3,6,7
-179.860349,753,480.888158,0.0,0.016093635698610095,173.13965081555537,10067,2001,2733,0.02673281127971877,322,63,0,5,6
-32.568903,625,496.551079,0.0,0.015753669889008236,192.43109711297532,10408,2050,2792,0.02615839656502884,341,49,0,13,11
