#{"t_start": 1692615987.8960552, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-1098.312546,1703,17.956154,0.022222222222222223,0.022222222222222223,204.6874541249355,221,85,179,0.029497654936432555,221,85,4,2,3
-1204.591919,1799,33.760964,0.018292682926829267,0.02040816326530612,194.4080811678106,458,173,342,0.03298301374791982,237,88,3,2,3
-770.660858,1416,50.580262,0.0,0.014344262295081968,245.33914185575907,713,255,487,0.02318205287615515,255,82,0,6,7
-854.686932,1436,67.921113,0.032467532467532464,0.0187207488299532,181.31306804358906,960,338,640,0.026941149436216828,247,83,5,0,1
-1083.61214,1726,83.462607,0.011494252873563218,0.0171990171990172,242.387859860663,1187,419,813,0.025348381822675396,227,81,2,2,3
-837.741472,1461,99.514648,0.00625,0.015416238437821172,223.25852799571513,1428,502,972,0.023304961308467646,241,83,1,0,1
-708.953008,1311,117.56587,0.006993006993006993,0.014349775784753363,202.0469920621145,1686,589,1114,0.02220156243495636,258,87,1,3,4
-664.594861,1290,134.031004,0.0,0.012718600953895072,225.40513864902175,1943,677,1257,0.019916929805270517,257,88,0,3,4
-637.578943,1262,151.010833,0.014705882352941176,0.012921751615218953,224.4210573800909,2208,761,1392,0.021013054360021162,265,84,2,1,2
-1099.59331,1728,166.471384,0.0,0.011545862732520847,228.40669047451138,2442,847,1558,0.01888058367975833,234,86,0,5,6
-839.053469,1438,182.67889,0.006535947712418301,0.011104617182933957,198.94653090625653,2690,935,1710,0.018393567156446484,248,88,1,5,6
-909.684271,1518,198.813716,0.011904761904761904,0.011182108626198083,208.3157290786222,2923,1026,1877,0.018420266758954064,233,91,2,1,2
-803.876768,1411,215.107731,0.0,0.010375494071146246,207.12323227122795,3177,1116,2023,0.01721435259688942,254,90,0,1,2
-823.337502,1438,231.737309,0.0,0.009686346863468635,214.6624978641571,3433,1196,2167,0.015957408226769276,256,80,0,4,5
-891.181252,1533,247.997442,0.0,0.009055627425614488,241.8187481887572,3682,1276,2318,0.014895023933595274,249,80,0,0,1
-793.912155,1453,264.593082,0.0,0.008522727272727272,259.0878449051747,3937,1359,2463,0.014060472815354037,255,83,0,2,3
-737.567056,1367,281.633882,0.0,0.008083140877598153,229.43294424910465,4203,1441,2597,0.01335759288080777,266,82,0,3,4
-922.902552,1488,298.89817,0.0410958904109589,0.00984323733138899,165.09744813979853,4458,1521,2742,0.01644670788543147,255,80,6,4,5
-799.697,1358,315.597269,0.020134228187919462,0.010377032168799724,158.3029998348684,4710,1611,2890,0.017041303405903905,252,90,3,2,3
-1121.105767,1738,331.192282,0.005847953216374269,0.010127409343351846,216.8942330555588,4940,1702,3060,0.016723520949622952,230,91,1,4,5
-666.57084,1234,349.415354,0.06349206349206349,0.01224105461393597,167.42915979160196,5215,1775,3185,0.020451537219343556,275,73,8,2,3
-826.345599,1393,367.082701,0.0072992700729927005,0.012040939193257074,166.65440119666576,5479,1861,3321,0.020219404044821247,264,86,1,1,2
-899.651775,1505,384.45976,0.02027027027027027,0.012395503026808878,205.34822463089634,5732,1950,3468,0.021212545189491214,253,89,3,3,4
-962.402694,1481,403.129387,0.06201550387596899,0.014178482068390326,118.5973057075129,6004,2029,3596,0.02478257277888003,272,79,8,2,3
-816.639964,1431,420.139904,0.011627906976744186,0.014065817409766455,214.36003635942137,6233,2114,3767,0.024481293940119032,229,85,2,3,4
-740.524464,1369,437.45294,0.0,0.013579297975915961,228.47553643692774,6498,2200,3902,0.023675730770825614,265,86,0,7,8
-1075.270302,1619,453.695938,0.02666666666666667,0.014067127344521224,143.7296980174433,6749,2284,4051,0.02346567371625359,251,84,4,2,3
-786.422341,1347,471.165778,0.007352941176470588,0.013852400286601386,160.57765895498525,7014,2366,4186,0.023261601723859774,265,82,1,2,3
-1055.975202,1677,487.232567,0.00641025641025641,0.013588208198986642,221.02479805716828,7259,2456,4341,0.022697063024190483,245,90,1,5,6
-887.911908,1480,503.641191,0.0064516129032258064,0.013345195729537367,192.0880916867941,7505,2539,4495,0.02238281372952468,246,83,1,2,3
-821.536083,1467,520.214725,0.0,0.012917115177610334,245.46391662113788,7756,2622,4644,0.021694890740236453,251,83,0,1,2
-827.852618,1481,536.910253,0.013888888888888888,0.012949039264828738,253.1473821319647,8013,2693,4787,0.021874634283458073,257,71,2,0,1
-920.914712,1526,554.117856,0.012345679012345678,0.012931905435441503,205.0852876269957,8252,2775,4948,0.021989616249480655,239,82,2,3,4
-1000.274519,1617,572.309755,0.006622516556291391,0.012747597568150618,216.72548112845908,8502,2855,5098,0.02175695632496272,250,80,1,2,3
-435.030739,1064,591.058842,0.0,0.0124282982791587,228.96926144519193,8771,2930,5229,0.0211788000211788,269,75,0,2,3
-655.518471,1271,608.638092,0.0,0.012070566388115135,215.48152942804438,9016,3016,5384,0.02057850846582366,245,86,0,3,4
-655.694744,1248,627.066779,0.0070921985815602835,0.011945701357466063,192.3052559641483,9276,3097,5524,0.02029203461783177,260,81,1,3,4
-543.782599,1173,645.080865,0.007142857142857143,0.01182909604519774,229.2174007443379,9537,3174,5663,0.02017209200324604,261,77,1,1,2
-491.766217,1131,663.313632,0.0,0.011553716157958268,239.23378336494181,9802,3252,5798,0.019730274477079847,265,78,0,0,1
-419.964603,1013,682.658396,0.008695652173913044,0.01150008455944529,193.0353966630453,10088,3323,5912,0.019666885482915057,286,71,1,4,5
-728.051569,1380,700.444465,0.0,0.01118421052631579,251.94843091098528,10321,3402,6079,0.01911484491575261,233,79,0,2,3
-651.506495,1281,718.292098,0.0,0.010914927768860353,229.49350451502102,10571,3473,6229,0.01863821791770807,250,71,0,2,3
-747.429293,1353,736.150817,0.011834319526627219,0.010940919037199124,205.57070660631473,10803,3551,6397,0.01857456953230543,232,78,2,0,1
-644.787747,1286,754.435907,0.006622516556291391,0.010843005497861942,241.2122532750284,11053,3618,6547,0.01845046449643411,250,67,1,6,7
-465.399944,1074,773.169608,0.015037593984962405,0.010928143712574851,208.6000562083094,11321,3693,6679,0.018733329100698307,268,75,2,7,8
-527.405235,1159,790.906878,0.0,0.010672514619883042,231.59476543472672,11561,3777,6839,0.018265175189013994,240,84,0,1,2
-581.073341,1217,808.879561,0.0,0.010455456889143512,235.9266585256925,11819,3859,6981,0.01789456581718642,258,82,0,5,6
-394.424811,1045,827.428078,0.006896551724137931,0.010384507437552624,250.57518885821725,12075,3939,7125,0.017830923223566757,256,80,1,4,5
-452.370512,1066,846.136053,0.007751937984496124,0.01033912324234905,213.629488037197,12347,4018,7253,0.01780050605325306,272,79,1,1,2
-691.532334,1315,864.160867,0.011235955056179775,0.010361997039429418,223.46766641253635,12570,4092,7430,0.017948885796518762,223,74,2,0,1
-768.306713,1371,881.93015,0.01775147928994083,0.010527701013291223,202.69328673486177,12802,4171,7598,0.018199353233590766,232,79,3,0,1
-567.115387,1176,899.6982,0.012121212121212121,0.010562926703593972,208.88461266539014,13038,4254,7762,0.018337478367505988,236,83,2,0,1
-553.832581,1143,918.379251,0.02,0.010743174924165825,189.16741940484079,13289,4330,7911,0.018512384454621847,251,76,3,1,2
-645.497849,1197,937.497159,0.06711409395973154,0.011786600496277916,151.50215070400844,13541,4404,8059,0.02037901065744376,252,74,10,4,5
-493.533776,1062,956.287529,0.0273972602739726,0.01206581352833638,168.466223769231,13796,4475,8204,0.021028470637564113,255,71,4,3,4
-748.298434,1354,974.559718,0.011494252873563218,0.012055383146335641,205.70156610264925,14023,4558,8377,0.021121026606869583,227,83,2,2,3
-463.025707,1109,992.277735,0.0,0.011826697892271663,245.97429257551562,14261,4638,8539,0.020736183597433375,238,80,0,2,3
-616.722064,1211,1010.985882,0.018292682926829267,0.011949902332529013,194.27793601984268,14498,4715,8702,0.020938615560399783,237,77,3,0,1
-558.416654,1134,1029.310112,0.011834319526627219,0.011949047458009244,175.58334593672848,14730,4791,8870,0.021040176690202902,232,76,2,2,3
-390.030189,1024,1048.412866,0.0,0.011767317939609237,233.96981054071708,14993,4871,9007,0.020714523033560438,263,80,0,3,4
-382.511276,1058,1066.934375,0.0,0.011577107907383137,275.48872443994605,15245,4944,9155,0.020350985908085574,252,73,0,0,1
-466.460972,1077,1084.856335,0.006060606060606061,0.01148068669527897,210.53902794882225,15481,5019,9319,0.02019974177996758,236,75,1,1,2
-498.735042,1090,1103.736351,0.02962962962962963,0.01174106198434525,191.26495779423576,15747,5087,9453,0.02079414843814377,266,68,4,0,1
-366.044485,993,1122.107365,0.006535947712418301,0.011659379554445138,226.95551466744485,15995,5159,9605,0.02068138637129293,248,72,1,1,2
-397.549188,1048,1140.577328,0.0,0.011467185420292823,250.45081161841694,16234,5235,9766,0.020356768438009088,239,76,0,4,5
-431.68272,1021,1160.166286,0.013071895424836602,0.011493094061901401,189.31727983140954,16482,5305,9918,0.020194020777169263,248,70,2,9,10
-515.60275,1178,1177.724096,0.0,0.011271504844769626,262.39724997223794,16687,5378,10113,0.0198035057892938,205,73,0,5,6
-454.935666,1086,1196.557594,0.013513513513513514,0.011304941038885099,231.0643344470858,16940,5455,10260,0.01982972940320671,253,77,2,6,7
-512.215927,1099,1214.68517,0.012121212121212121,0.0113189448441247,186.78407336443811,17176,5543,10424,0.01981041185093944,236,88,2,3,4
-389.000477,1037,1233.580658,0.0,0.011178476695718075,247.99952306623666,17445,5615,10555,0.01955347777165597,269,72,0,3,4
-330.048739,986,1251.767583,0.012048192771084338,0.011192985728943195,255.95126064415433,17680,5690,10720,0.019666201607358186,235,75,2,3,4
-351.39123,988,1270.310909,0.0,0.011033468186833395,236.60877047970757,17925,5767,10875,0.019380581234692107,245,77,0,5,6
-161.012842,781,1290.298475,0.008130081300813009,0.011002000363702491,219.98715767878093,18203,5834,10997,0.019368031137322196,278,67,1,6,7
-419.07734,1071,1308.516558,0.0,0.010832587287376903,251.92266030238244,18431,5919,11169,0.019071262325447577,228,85,0,5,6
-342.089334,956,1326.563478,0.012658227848101266,0.010859009446455372,213.91066562483343,18674,5994,11326,0.01903353089091246,243,75,2,2,3
-528.275604,1089,1345.473916,0.020689655172413793,0.010984221079243309,160.72439648346253,18930,6067,11470,0.019261481919995473,256,73,3,2,3
-240.637334,884,1364.751579,0.0,0.010856453558504222,243.36266579739325,19195,6140,11605,0.019045031570975913,265,73,0,2,3
-434.047865,1030,1383.215923,0.006756756756756757,0.010805751722964349,195.95213537638338,19448,6217,11752,0.018959446811408247,253,77,1,6,7
-316.492805,882,1402.679867,0.016,0.010861328618337964,165.5071948411662,19724,6290,11876,0.01911219873515997,276,73,2,4,5
