#{"t_start": 1684999697.4166682, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-1776.965255,2467,13.81963,0.0,0.0,290.0347446648279,159,69,241,0.0,159,69,0,17,11
-516.106509,1148,34.394211,0.0,0.0,231.893490836808,457,137,343,0.0,298,68,0,7,8
-450.527907,1072,57.680816,0.0,0.0,221.47209343161373,743,199,457,0.0,286,62,0,0,1
-207.463935,821,84.130035,0.0,0.0,213.53606534525093,1062,258,538,0.0,319,59,0,4,5
-80.567444,700,111.995043,0.0,0.0,219.43255569366562,1397,312,603,0.0,335,54,0,6,7
-214.357545,815,137.307116,0.0,0.0,200.6424553578322,1716,370,684,0.0,319,58,0,2,3
15.754859,580,167.924306,0.0,0.0,195.75485908086821,2056,426,744,0.0,340,56,0,6,7
154.746031,456,201.261545,0.0,0.0,210.74603079445342,2403,472,797,0.0,347,46,0,4,5
-105.741389,714,228.404861,0.0,0.0,208.25861140448896,2733,531,867,0.0,330,59,0,6,7
-200.073023,817,254.631648,0.0,0.0,216.92697676273298,3042,600,958,0.0,309,69,0,7,8
-90.532253,673,283.199137,0.0,0.0,182.46774695904728,3372,657,1028,0.0,330,57,0,4,5
-45.796291,637,318.391684,0.0,0.0,191.20370855949443,3707,712,1093,0.0,335,55,0,10,11
-206.546681,797,348.739091,0.0,0.0,190.45331901611615,4030,767,1170,0.0,323,55,0,4,5
-99.529667,678,382.446241,0.015625,0.0008103727714748784,178.47033301366054,4367,821,1233,0.0017130547620781067,337,54,1,12,11
42.44673,545,416.557442,0.0,0.0007830853563038371,187.44673005640487,4724,861,1276,0.0016467614377874114,357,40,0,7,8
-70.052591,664,448.133298,0.0,0.0007479431563201197,193.94740857840807,5064,909,1336,0.0015741771972562092,340,48,0,8,9
70.391325,527,485.798982,0.0136986301369863,0.0014194464158978,197.39132459928408,5392,970,1408,0.0029795047318259523,328,61,1,1,2
26.926903,562,524.192563,0.016129032258064516,0.0020408163265306124,188.92690270184121,5731,1015,1469,0.0042949023088679,339,45,1,10,11
57.471056,527,557.169264,0.058823529411764705,0.003947368421052632,184.47105553959554,6081,1056,1519,0.006558486163320113,350,41,3,6,7
-254.934306,854,589.336112,0.01098901098901099,0.004347826086956522,199.0656935173223,6391,1121,1609,0.007521231127432546,310,65,1,1,2
47.621577,568,623.859476,0.0,0.004227053140096618,215.62157677228393,6745,1163,1655,0.007329485884366206,354,42,0,7,8
5.087111,585,663.121935,0.0,0.004095962551199532,190.0871107074583,7092,1205,1708,0.007105322504409934,347,42,0,22,11
77.995591,490,696.382018,0.0,0.003988603988603989,167.99559139512255,7446,1245,1754,0.00693813894980709,354,40,0,5,6
49.826229,548,732.825555,0.0,0.003854625550660793,197.82622886722126,7785,1294,1815,0.006715308860412087,339,49,0,7,8
153.536884,411,774.964241,0.017543859649122806,0.004273504273504274,164.5368835085172,8129,1341,1871,0.007633566204223341,344,47,1,17,11
-332.114917,865,806.533781,0.05555555555555555,0.006176016469377252,132.88508276391875,8458,1397,1942,0.011205216711624182,329,56,4,4,5
-23.976167,596,846.125764,0.028985507246376812,0.0069617105917454,172.0238327452736,8790,1444,2010,0.012480051832045055,332,47,2,20,11
-219.612337,793,878.554529,0.037037037037037035,0.008130081300813009,173.3876625327688,9110,1505,2090,0.015043306875811128,320,61,3,20,11
84.686481,484,916.26881,0.05084745762711865,0.009306654257794323,168.68648099868074,9452,1555,2148,0.01636900702131195,342,50,3,14,11
