#{"t_start": 1684749188.9880404, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-789.138415,1439,28.739602,0.0,0.0,249.86158510504453,250,82,150,0.0,250,82,0,10,11
-192.772214,825,59.42536,0.012658227848101266,0.004366812227074236,232.22778562400902,572,147,228,0.009029141554366718,322,65,1,7,8
-149.999485,734,92.11319,0.0,0.0033222591362126247,184.00051539271283,900,204,300,0.006745248815365677,328,57,0,6,7
-316.441596,876,123.445093,0.010638297872340425,0.005076142131979695,159.55840361471675,1207,275,393,0.006561593679872968,307,71,1,6,7
-584.21668,1161,155.110535,0.016666666666666666,0.007797270955165692,176.7833197948665,1488,352,512,0.008221909332894831,281,77,2,18,11
-99.33399,623,191.6138,0.03389830508474576,0.010507880910683012,123.66600953962902,1830,403,570,0.014692243413742758,342,51,2,11,11
-125.933057,707,226.481063,0.0,0.00933125972006221,181.06694273394822,2158,462,642,0.01320121121112862,328,59,0,3,4
-592.432604,1211,257.016338,0.0,0.007894736842105263,218.5673956420639,2441,531,759,0.011259597047170675,283,69,0,4,5
-181.385143,750,289.785258,0.01282051282051282,0.008363201911589008,168.61485697063776,2764,591,836,0.012746891351871563,323,60,1,4,5
-220.495994,812,319.27398,0.0,0.007625272331154684,191.5040055815583,3083,654,917,0.011695838036034877,319,63,0,4,5
-133.692065,744,350.383329,0.0,0.007070707070707071,210.30793517223984,3411,711,989,0.010851813066668114,328,57,0,3,4
-376.696479,952,382.279917,0.0,0.006635071090047393,175.30352074532277,3746,764,1054,0.010178065251576328,335,53,0,2,3
-249.920063,864,413.410815,0.010416666666666666,0.006956521739130435,214.07993715915555,4051,832,1149,0.011209662729272632,305,68,1,5,6
-96.003364,707,447.084384,0.029850746268656716,0.008223684210526315,210.99663589306832,4385,885,1215,0.011941565937346584,334,53,2,14,11
-54.813865,662,481.602842,0.0,0.007710100231303007,207.1861348098738,4704,944,1296,0.011143164906459321,319,59,0,7,8
-245.2115,838,513.260265,0.0273972602739726,0.008765522279035792,192.78849974718042,5032,1002,1368,0.012880511785668285,328,58,2,5,6
-274.655579,880,543.822653,0.0,0.00822481151473612,205.34442113672162,5342,1069,1458,0.012159129848453028,310,67,0,3,4
-430.584393,987,574.110011,0.021052631578947368,0.00901481004507405,156.41560740184102,5648,1143,1552,0.01348076916429601,306,74,2,6,7
-144.417009,737,606.344215,0.012658227848101266,0.009196811771919068,192.58299071480917,5970,1201,1630,0.014130745544707378,322,58,1,12,11
-75.976144,618,640.431741,0.0,0.008802816901408451,142.02385553704605,6297,1258,1703,0.013517719214966317,327,57,0,7,8
-231.945445,828,672.772629,0.0,0.008347245409015025,196.05455525375834,6604,1326,1796,0.01280520308158701,307,68,0,11,11
-6.445065,597,707.606092,0.0,0.008060182697474477,190.55493460681137,6940,1379,1860,0.01234210005137758,336,53,0,3,4
86.246559,517,746.545393,0.03125,0.008835758835758836,203.24655938631915,7277,1428,1923,0.012777742284049211,337,49,2,7,8
-371.149148,938,778.473534,0.03260869565217391,0.009925558312655087,166.8508515237236,7586,1498,2014,0.014308388160073768,309,70,3,4,5
-14.893015,599,815.784682,0.0,0.009601536245799328,184.1069850404921,7918,1552,2082,0.013764940696047168,332,54,0,6,7
-104.50276,680,850.825909,0.0,0.00927213722763097,175.4972396956595,8244,1611,2156,0.013356385465284528,326,59,0,6,7
-258.069047,814,885.797836,0.0,0.008908685968819599,155.93095295846354,8556,1678,2244,0.012823526897347667,312,67,0,6,7
-59.373252,600,922.180654,0.0,0.00864677907479464,140.62674810076757,8888,1735,2312,0.01238813400290433,332,57,0,1,2
-131.940459,675,955.380314,0.0,0.008357709987463435,143.05954097249443,9208,1798,2392,0.011973365912714163,320,63,0,5,6
-155.867046,729,987.886684,0.0,0.008093889113719142,173.13295398418376,9530,1857,2470,0.011625378632123505,322,59,0,7,8
-323.845066,920,1018.655098,0.0,0.007833920877399139,196.15493367626274,9848,1921,2552,0.011242949733604552,318,64,0,5,6
-38.025008,599,1052.901232,0.014492753623188406,0.008012209080503624,160.97499243570215,10180,1974,2620,0.011759911273497013,332,53,1,3,4
-206.494155,809,1085.132718,0.013333333333333334,0.00816326530612245,202.50584509360522,10506,2025,2694,0.01224326176291121,326,51,1,12,11
-379.962709,1017,1116.681055,0.0,0.007857142857142858,237.03729057355355,10801,2094,2799,0.011787049834506017,295,69,0,13,11
-324.42548,959,1146.1899,0.0,0.0075940628236106315,234.57451963795464,11104,2165,2896,0.011380302165377817,303,71,0,2,3
-284.788246,886,1176.748218,0.025,0.008064516129032258,201.21175382943488,11425,2226,2975,0.011773079248877544,321,61,2,9,10
-144.567886,781,1208.301191,0.0,0.007845701209545603,236.432114428555,11742,2293,3058,0.011448375631612088,317,67,0,5,6
-213.037889,782,1239.446666,0.011764705882352941,0.007954183900731784,168.962110741155,12058,2352,3142,0.011830299424878444,316,59,1,2,3
-3.476342,578,1273.663313,0.0,0.0078125,174.52365809841322,12401,2401,3199,0.011622095928779797,343,49,0,4,5
-226.904394,830,1305.016748,0.0,0.007619628162145687,203.09560610272146,12720,2466,3280,0.011376545788158965,319,65,0,10,11
-120.882235,691,1336.911137,0.013333333333333334,0.007749627421758569,170.11776532934928,13046,2520,3354,0.011725539969038237,326,54,1,8,9
-195.394317,807,1369.209352,0.0,0.0075625363583478765,211.60568336678475,13363,2583,3437,0.01146751670925661,317,63,0,5,6
-180.000947,798,1400.089539,0.0,0.007361268403171008,217.99905286123885,13669,2651,3531,0.011142883386713768,306,68,0,9,10
-540.228247,1057,1431.93422,0.01020408163265306,0.0074400661339211905,116.77175311795075,13972,2720,3628,0.011433580425710311,303,69,1,7,8
-123.521113,691,1465.232051,0.0,0.007277628032345013,167.47888694007872,14291,2784,3709,0.01116517153568346,319,64,0,6,7
-162.828494,723,1498.174519,0.0,0.007125890736342043,160.17150605730842,14612,2852,3788,0.010898405898552607,321,68,0,4,5
-224.180405,797,1530.211535,0.0125,0.007238883143743537,172.8195954789725,14933,2910,3867,0.010960390518714181,321,58,1,6,7
-279.579102,842,1564.316371,0.013513513513513514,0.007358538442019792,162.42089750570437,15260,2959,3940,0.011313116076611344,327,49,1,9,10
-11.095519,544,1600.117089,0.016129032258064516,0.0074962518740629685,132.9044807618871,15599,3015,4001,0.011383174873362179,339,56,1,11,11
-153.136979,710,1632.915937,0.025,0.0078412153883852,156.8630212310624,15920,3078,4080,0.01220619113596788,321,63,2,4,5
-269.822224,847,1665.797865,0.0,0.007673860911270983,177.1777763998361,16231,3152,4169,0.01195015007608686,311,74,0,9,10
-200.98813,804,1697.91588,0.0,0.007536504945831371,203.01187020275003,16555,3212,4245,0.01173971307641679,324,60,0,6,7
-327.993777,926,1729.006426,0.010638297872340425,0.0076054390412537455,198.00622295664562,16862,3279,4338,0.011974569923546037,307,67,1,7,8
-183.103831,766,1762.102733,0.016129032258064516,0.007727272727272728,182.8961691787086,17201,3329,4399,0.012292103769457979,339,50,1,5,6
-376.566795,954,1794.352711,0.01020408163265306,0.00778296642205915,177.43320517009388,17504,3393,4496,0.012486732846350752,303,64,1,4,5
-497.141495,1044,1827.359296,0.019417475728155338,0.008045227223309415,146.8585051553131,17802,3463,4598,0.013141195226287924,298,70,2,8,9
-198.437964,803,1859.820757,0.0,0.00790091821481956,204.5620358523511,18118,3528,4682,0.012939826402013164,316,65,0,8,9
-43.375929,674,1892.386051,0.0,0.007758439924512477,230.62407066526487,18432,3587,4768,0.012707599255825153,314,59,0,3,4
-446.456754,1028,1921.128614,0.0,0.007591300779647107,181.54324590713105,18727,3659,4873,0.012438611632720531,295,72,0,10,11
-237.340993,819,1952.114332,0.0,0.007473237729751565,181.6590070321422,19050,3715,4950,0.012240940361923804,323,56,0,6,7
-310.366532,885,1982.256136,0.0,0.007329635499207607,174.6334675996491,19353,3783,5047,0.012013898183266748,303,68,0,6,7
-173.059273,728,2015.33926,0.0,0.0072195121951219516,154.94072712474036,19676,3843,5124,0.011818358056854595,323,60,0,3,4
-84.580563,656,2049.102458,0.0,0.007119492014623821,171.41943729243002,20004,3902,5196,0.01166119920090098,328,59,0,9,10
